ship,departure_date,inside,outside,balcony,suite,created_at
Celebrity Millennium,30-Aug-2026,1952.86,2306.36,2927.86,5028.86,2025-12-24T07:50:05+00:00
Celebrity Reflection,03-Jul-2026,451.02,481.02,509.02,1058.52,2025-12-24T07:50:05+00:00
Celebrity Reflection,06-Jul-2026,443.88,512.38,539.88,1189.88,2025-12-24T07:50:05+00:00
Celebrity Reflection,10-Jul-2026,445.21,510.21,535.21,1067.21,2025-12-24T07:50:09+00:00
Celebrity Reflection,13-Jul-2026,498.64,565.14,597.64,1380.64,2025-12-24T07:50:09+00:00
Celebrity Reflection,17-Jul-2026,452.45,498.45,526.45,1115.45,2025-12-24T07:50:09+00:00
Celebrity Reflection,20-Jul-2026,426.25,426.75,595.75,1305.75,2025-12-24T07:50:09+00:00
Celebrity Reflection,01-Aug-2026,701.91,745.41,748.41,2236.41,2025-12-24T07:50:09+00:00
Celebrity Reflection,07-Aug-2026,397.21,467.21,495.21,1139.71,2025-12-24T07:50:09+00:00
Celebrity Reflection,10-Aug-2026,396.84,487.34,514.84,1206.84,2025-12-24T07:50:09+00:00
Celebrity Reflection,14-Aug-2026,331.41,447.91,475.41,1042.41,2025-12-24T07:50:09+00:00
Celebrity Reflection,17-Aug-2026,453.08,536.08,606.08,1093.58,2025-12-24T07:50:09+00:00
Celebrity Reflection,21-Aug-2026,359.71,460.21,488.71,1006.21,2025-12-24T07:50:09+00:00
Celebrity Reflection,24-Aug-2026,389.44,533.44,607.94,1063.44,2025-12-24T07:50:09+00:00
Celebrity Reflection,28-Aug-2026,401.41,451.41,482.41,1103.91,2025-12-24T07:50:09+00:00
Celebrity Reflection,31-Aug-2026,446.08,564.08,591.58,1220.58,2025-12-24T07:50:09+00:00
Celebrity Silhouette,04-Jul-2026,1762.55,1901.05,2171.55,5910.05,2025-12-24T07:50:09+00:00
Celebrity Silhouette,11-Jul-2026,1614.68,1862.18,2190.68,5521.18,2025-12-24T07:50:09+00:00
Celebrity Silhouette,18-Jul-2026,1448.54,N/A,2307.54,6241.04,2025-12-24T07:50:09+00:00
Celebrity Silhouette,25-Jul-2026,1598.71,1902.71,2157.71,5284.21,2025-12-24T07:50:09+00:00
Celebrity Silhouette,01-Aug-2026,1610.21,2103.21,2455.71,5050.71,2025-12-24T07:50:09+00:00
Celebrity Silhouette,15-Aug-2026,1654.23,2171.23,2231.23,5996.73,2025-12-24T07:50:09+00:00
Celebrity Silhouette,22-Aug-2026,3497.76,4849.76,4598.26,N/A,2025-12-24T07:50:09+00:00
Celebrity Solstice,05-Jul-2026,1029.9,1260.4,1702.4,3492.4,2025-12-24T07:50:15+00:00
Celebrity Solstice,12-Jul-2026,1502.63,1946.13,1593.63,4409.63,2025-12-24T07:50:15+00:00
Celebrity Solstice,19-Jul-2026,1158.14,1488.64,1996.14,3916.64,2025-12-24T07:50:15+00:00
Celebrity Solstice,26-Jul-2026,1347.13,1530.63,2216.13,4124.63,2025-12-24T07:50:15+00:00
Celebrity Solstice,02-Aug-2026,1062.97,1396.47,1887.47,3234.97,2025-12-24T07:50:15+00:00
Celebrity Solstice,09-Aug-2026,1113.63,1533.63,2007.13,4029.63,2025-12-24T07:50:15+00:00
Celebrity Solstice,16-Aug-2026,1039.33,1417.33,1711.33,3274.33,2025-12-24T07:50:15+00:00
Celebrity Solstice,23-Aug-2026,1163.13,1485.63,1582.13,3690.13,2025-12-24T07:50:15+00:00
Celebrity Solstice,30-Aug-2026,1056.22,1420.72,1574.22,3921.22,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,1142.71,1446.21,2954.21,5505.21,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,2676.21,2890.71,3715.71,6465.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,3371.71,3521.71,4346.71,7096.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,2623.71,2840.71,3665.71,6415.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,2791.71,3003.21,3828.21,6578.21,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,3294.21,3606.21,5151.71,7765.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,3521.71,3671.71,4496.71,7246.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,3357.71,3640.71,4465.71,7215.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,4015.21,4165.71,4990.71,7740.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,4990.71,5140.71,5965.71,8715.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,4015.21,4190.71,5015.71,7765.71,2025-12-24T07:50:15+00:00
Celebrity Summit,03-Jul-2026,3829.21,4065.71,4890.71,7640.71,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,3707.91,N/A,5143.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,3707.91,N/A,5118.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,3050.41,N/A,4593.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,3233.41,N/A,5580.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,2986.91,N/A,5334.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,3137.91,N/A,4474.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,2316.41,N/A,3793.41,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,10-Jul-2026,795.91,N/A,3085.91,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,973.47,1687.97,3171.97,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,3174.47,3524.47,4349.47,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,2587.97,3005.97,3830.97,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,2450.47,3182.97,4703.97,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,3121.47,3853.47,5268.47,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,2832.97,3564.47,5085.97,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,3068.97,3238.97,4457.97,5636.97,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,3183.97,3643.47,4468.47,7618.97,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,3841.47,4193.47,5018.47,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,3655.97,4068.47,4893.47,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,17-Jul-2026,4793.47,5143.47,5968.47,N/A,2025-12-24T07:50:18+00:00
Celebrity Summit,24-Jul-2026,3537.65,4245.65,5070.65,7820.65,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,3723.15,4370.65,5195.65,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,3066.15,3820.65,4645.65,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,3248.65,3851.65,4676.65,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,2714.15,3991.15,5409.15,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,3003.15,4280.15,5445.65,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,2500.15,3183.15,4008.15,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,2331.65,3608.65,5027.65,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,24-Jul-2026,811.15,2056.65,3440.65,5012.65,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,768.47,942.97,2130.47,4616.47,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,3112.97,3291.47,4399.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,2291.47,2470.47,3686.97,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,2343.97,2522.97,3739.47,6287.97,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,2459.47,2638.47,3855.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,2673.47,2851.97,4069.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,2961.97,3140.97,4358.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,3025.47,3203.97,4421.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,3207.97,3386.47,4549.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,3682.97,3861.47,5043.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,4907.97,5086.47,6018.47,N/A,2025-12-24T07:50:22+00:00
Celebrity Summit,31-Jul-2026,3496.47,3675.47,4892.97,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,31-Jul-2026,3682.97,3861.47,5068.47,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,3595.13,3975.13,5916.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,3409.13,3789.13,5070.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,3595.13,3975.13,5195.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,3120.63,3500.63,4676.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,2938.13,3318.13,4645.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,2875.13,3255.13,5196.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,2203.63,2583.63,4525.63,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,2371.63,2751.63,4008.13,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,07-Aug-2026,745.13,1056.63,2951.13,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,803.97,997.97,2381.47,4001.47,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,1952.97,2152.97,3571.47,5230.97,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,2326.97,2527.97,4097.97,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,2372.97,2643.47,4213.47,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,2204.47,2475.47,4045.47,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,3095.97,3296.47,4714.47,6374.47,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,3781.97,3970.47,5118.47,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,2544.47,2732.97,3880.97,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,2938.97,3208.97,4779.47,N/A,2025-12-24T07:50:27+00:00
Celebrity Summit,14-Aug-2026,3121.47,3391.97,4961.97,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,14-Aug-2026,3595.97,3866.47,5436.47,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,14-Aug-2026,3410.47,3680.97,5250.97,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,14-Aug-2026,4821.47,5091.97,6661.97,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,14-Aug-2026,3595.97,3866.47,5436.47,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,3505.0,3966.5,5103.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,3244.0,3706.0,4978.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,3481.5,3943.5,5078.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,3032.5,3494.0,4553.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,3106.5,3568.5,4584.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,2773.0,3235.0,4797.5,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,2565.0,3026.5,4589.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,2121.0,2583.0,4145.5,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,2181.5,2643.5,4206.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,2974.0,3436.0,4434.0,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,2320.5,2782.5,3915.5,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,21-Aug-2026,718.0,1168.5,2693.0,3748.0,2025-12-24T07:50:32+00:00
Celebrity Summit,28-Aug-2026,690.06,885.06,2064.06,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,28-Aug-2026,2156.56,2356.56,3524.56,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,28-Aug-2026,2095.56,2295.06,3474.56,N/A,2025-12-24T07:50:32+00:00
Celebrity Summit,28-Aug-2026,2295.06,2495.06,3637.06,5317.56,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,2949.06,3149.06,4155.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,2539.56,2739.56,3837.06,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,2747.56,2947.56,4155.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,3081.56,3281.56,4305.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,3007.06,3207.06,4274.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,3456.56,3656.56,4799.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,4696.56,4896.56,5774.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,28-Aug-2026,3448.56,3648.56,4824.56,N/A,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,3450.77,3713.77,4920.27,9571.27,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,3473.27,3737.27,4943.27,9596.27,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,3213.27,3476.27,4682.77,9471.27,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,3075.77,3338.77,4438.77,9077.77,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,3000.77,3264.77,4407.77,9046.27,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,2742.27,3005.27,4211.27,9846.27,2025-12-24T07:50:35+00:00
Celebrity Summit,04-Sep-2026,2533.77,2797.27,3970.27,5187.77,2025-12-24T07:50:35+00:00
Celebrity Xcel,04-Jul-2026,2434.63,2529.63,3030.13,5589.63,2025-12-24T07:50:35+00:00
Celebrity Xcel,11-Jul-2026,2105.79,2598.79,2553.29,4278.79,2025-12-24T07:50:35+00:00
Celebrity Xcel,18-Jul-2026,1873.91,2363.91,2338.41,4866.91,2025-12-24T07:50:35+00:00
Celebrity Xcel,25-Jul-2026,2249.57,2587.07,2908.07,4335.57,2025-12-24T07:50:35+00:00
Celebrity Xcel,01-Aug-2026,2626.13,2715.63,3354.63,5498.13,2025-12-24T07:50:39+00:00
Celebrity Xcel,08-Aug-2026,2630.44,2908.94,3073.94,4468.94,2025-12-24T07:50:39+00:00
Celebrity Xcel,15-Aug-2026,2532.37,2721.37,3074.37,5223.87,2025-12-24T07:50:39+00:00
Celebrity Xcel,22-Aug-2026,2648.8,2748.8,3173.8,4902.3,2025-12-24T07:50:39+00:00
Celebrity Xcel,29-Aug-2026,2908.15,3377.65,4167.15,5450.15,2025-12-24T07:50:39+00:00
Celebrity Apex,12-Sep-2026,4357.97,5566.47,6233.47,N/A,2025-12-24T07:50:43+00:00
Celebrity Apex,26-Sep-2026,3068.57,4491.57,4441.07,N/A,2025-12-24T07:50:43+00:00
Celebrity Apex,07-Oct-2026,2224.99,4325.49,4023.49,N/A,2025-12-24T07:50:43+00:00
Celebrity Apex,18-Oct-2026,1792.5,1949.5,2663.5,27275.5,2025-12-24T07:50:43+00:00
Celebrity Apex,31-Oct-2026,888.84,1074.34,1243.34,3463.84,2025-12-24T07:50:43+00:00
Celebrity Ascent,07-Sep-2026,2325.92,2917.42,3322.92,6934.92,2025-12-24T07:50:43+00:00
Celebrity Ascent,18-Sep-2026,3703.38,3886.88,4150.88,9277.38,2025-12-24T07:50:43+00:00
Celebrity Ascent,28-Sep-2026,2326.4,2594.9,3304.9,6526.4,2025-12-24T07:50:43+00:00
Celebrity Ascent,09-Oct-2026,2187.22,2812.22,3773.22,9543.72,2025-12-24T07:50:43+00:00
Celebrity Ascent,19-Oct-2026,2159.4,2403.9,3021.9,5553.9,2025-12-24T07:50:43+00:00
Celebrity Ascent,30-Oct-2026,1350.2,1956.7,2535.2,N/A,2025-12-24T07:50:43+00:00
Celebrity Beyond,06-Sep-2026,724.1,867.1,1177.1,2481.6,2025-12-24T07:50:43+00:00
Celebrity Beyond,13-Sep-2026,915.56,915.56,1130.56,3584.56,2025-12-24T07:50:43+00:00
Celebrity Beyond,20-Sep-2026,756.1,869.6,1096.6,2444.6,2025-12-24T07:50:43+00:00
Celebrity Beyond,27-Sep-2026,818.17,896.17,1236.67,2807.67,2025-12-24T07:50:43+00:00
Celebrity Beyond,04-Oct-2026,820.3,982.3,1116.8,4236.8,2025-12-24T07:50:43+00:00
Celebrity Beyond,11-Oct-2026,815.25,916.25,1286.25,4165.75,2025-12-24T07:50:43+00:00
Celebrity Beyond,18-Oct-2026,825.3,984.3,1312.8,3955.3,2025-12-24T07:50:43+00:00
Celebrity Beyond,25-Oct-2026,957.0,987.5,1082.5,4387.0,2025-12-24T07:50:43+00:00
Celebrity Constellation,11-Sep-2026,1498.44,1898.44,4298.44,8048.44,2025-12-24T07:50:43+00:00
Celebrity Constellation,21-Sep-2026,1598.18,1998.18,3972.68,N/A,2025-12-24T07:50:49+00:00
Celebrity Constellation,02-Oct-2026,1499.16,1799.16,2899.16,6146.66,2025-12-24T07:50:49+00:00
Celebrity Constellation,12-Oct-2026,1298.68,1498.68,2498.68,7266.18,2025-12-24T07:50:49+00:00
Celebrity Constellation,23-Oct-2026,1399.16,1699.16,2799.16,5067.16,2025-12-24T07:50:49+00:00
Celebrity Eclipse,07-Sep-2026,2148.1,N/A,2791.6,8053.1,2025-12-24T07:50:49+00:00
Celebrity Eclipse,18-Sep-2026,2641.74,2947.24,4103.24,8677.24,2025-12-24T07:50:49+00:00
Celebrity Eclipse,28-Sep-2026,2338.71,2937.21,2998.71,7745.21,2025-12-24T07:50:49+00:00
Celebrity Eclipse,09-Oct-2026,1985.59,2807.59,2702.09,7564.09,2025-12-24T07:50:49+00:00
Celebrity Eclipse,19-Oct-2026,1858.84,2481.34,2520.34,7571.34,2025-12-24T07:50:49+00:00
Celebrity Eclipse,30-Oct-2026,2104.13,2488.63,2488.63,7135.13,2025-12-24T07:50:49+00:00
Celebrity Edge,04-Sep-2026,1075.33,1417.33,1684.33,5054.83,2025-12-24T07:50:49+00:00
Celebrity Edge,11-Sep-2026,987.54,1381.54,1808.04,4098.04,2025-12-24T07:50:49+00:00
Celebrity Edge,18-Sep-2026,1598.3,1566.3,2020.8,5861.3,2025-12-24T07:50:49+00:00
Celebrity Edge,28-Sep-2026,3673.11,3723.61,4495.61,15653.61,2025-12-24T07:50:49+00:00
Celebrity Edge,17-Oct-2026,2095.79,2214.29,2303.79,5571.79,2025-12-24T07:50:49+00:00
Celebrity Edge,28-Oct-2026,2524.16,2523.66,2959.16,6216.66,2025-12-24T07:50:49+00:00
Celebrity Equinox,03-Sep-2026,1723.76,2573.76,2724.26,7304.76,2025-12-24T07:50:49+00:00
Celebrity Equinox,12-Sep-2026,N/A,2723.72,3499.22,5763.72,2025-12-24T07:50:49+00:00
Celebrity Equinox,22-Sep-2026,1724.21,1823.71,2049.21,6098.21,2025-12-24T07:50:49+00:00
Celebrity Equinox,01-Oct-2026,1998.62,N/A,2348.62,8434.62,2025-12-24T07:50:49+00:00
Celebrity Equinox,10-Oct-2026,1498.6,1623.1,1748.6,4852.1,2025-12-24T07:50:54+00:00
Celebrity Equinox,20-Oct-2026,1398.28,1899.28,1824.28,4232.78,2025-12-24T07:50:54+00:00
Celebrity Equinox,30-Oct-2026,1298.82,1524.32,1598.82,5724.82,2025-12-24T07:50:54+00:00
Celebrity Flora,06-Sep-2026,N/A,N/A,N/A,9801.0,2025-12-24T07:50:54+00:00
Celebrity Flora,06-Sep-2026,N/A,N/A,N/A,9951.5,2025-12-24T07:50:54+00:00
Celebrity Flora,06-Sep-2026,N/A,N/A,N/A,18151.5,2025-12-24T07:50:54+00:00
Celebrity Flora,06-Sep-2026,N/A,N/A,N/A,7801.0,2025-12-24T07:50:54+00:00
Celebrity Flora,13-Sep-2026,N/A,N/A,N/A,10108.0,2025-12-24T07:50:54+00:00
Celebrity Flora,13-Sep-2026,N/A,N/A,N/A,10257.5,2025-12-24T07:50:54+00:00
Celebrity Flora,13-Sep-2026,N/A,N/A,N/A,18457.5,2025-12-24T07:50:54+00:00
Celebrity Flora,13-Sep-2026,N/A,N/A,N/A,8108.0,2025-12-24T07:50:54+00:00
Celebrity Flora,20-Sep-2026,N/A,N/A,N/A,10800.0,2025-12-24T07:50:54+00:00
Celebrity Flora,20-Sep-2026,N/A,N/A,N/A,10950.5,2025-12-24T07:50:54+00:00
Celebrity Flora,20-Sep-2026,N/A,N/A,N/A,19150.5,2025-12-24T07:50:54+00:00
Celebrity Flora,20-Sep-2026,N/A,N/A,N/A,8800.0,2025-12-24T07:50:54+00:00
Celebrity Flora,27-Sep-2026,N/A,N/A,N/A,10594.0,2025-12-24T07:50:54+00:00
Celebrity Flora,27-Sep-2026,N/A,N/A,N/A,10743.5,2025-12-24T07:50:54+00:00
Celebrity Flora,27-Sep-2026,N/A,N/A,N/A,18943.5,2025-12-24T07:50:54+00:00
Celebrity Flora,27-Sep-2026,N/A,N/A,N/A,8594.0,2025-12-24T07:50:54+00:00
Celebrity Flora,04-Oct-2026,N/A,N/A,N/A,11029.0,2025-12-24T07:50:54+00:00
Celebrity Flora,04-Oct-2026,N/A,N/A,N/A,11179.5,2025-12-24T07:50:59+00:00
Celebrity Flora,04-Oct-2026,N/A,N/A,N/A,19379.5,2025-12-24T07:50:59+00:00
Celebrity Flora,04-Oct-2026,N/A,N/A,N/A,9029.0,2025-12-24T07:50:59+00:00
Celebrity Flora,11-Oct-2026,N/A,N/A,N/A,13102.0,2025-12-24T07:50:59+00:00
Celebrity Flora,11-Oct-2026,N/A,N/A,N/A,13251.5,2025-12-24T07:50:59+00:00
Celebrity Flora,11-Oct-2026,N/A,N/A,N/A,21451.5,2025-12-24T07:50:59+00:00
Celebrity Flora,11-Oct-2026,N/A,N/A,N/A,11102.0,2025-12-24T07:50:59+00:00
Celebrity Flora,18-Oct-2026,N/A,N/A,N/A,11111.0,2025-12-24T07:50:59+00:00
Celebrity Flora,18-Oct-2026,N/A,N/A,N/A,11260.5,2025-12-24T07:50:59+00:00
Celebrity Flora,18-Oct-2026,N/A,N/A,N/A,19460.5,2025-12-24T07:50:59+00:00
Celebrity Flora,18-Oct-2026,N/A,N/A,N/A,9111.0,2025-12-24T07:50:59+00:00
Celebrity Flora,25-Oct-2026,N/A,N/A,N/A,11255.0,2025-12-24T07:50:59+00:00
Celebrity Flora,25-Oct-2026,N/A,N/A,N/A,11404.5,2025-12-24T07:50:59+00:00
Celebrity Flora,25-Oct-2026,N/A,N/A,N/A,19604.5,2025-12-24T07:50:59+00:00
Celebrity Flora,25-Oct-2026,N/A,N/A,N/A,9255.0,2025-12-24T07:50:59+00:00
Celebrity Flora,01-Nov-2026,N/A,N/A,N/A,11176.0,2025-12-24T07:50:59+00:00
Celebrity Flora,01-Nov-2026,N/A,N/A,N/A,11326.5,2025-12-24T07:50:59+00:00
Celebrity Flora,01-Nov-2026,N/A,N/A,N/A,19526.5,2025-12-24T07:50:59+00:00
Celebrity Infinity,07-Sep-2026,1484.16,2096.66,2444.66,5630.16,2025-12-24T07:50:59+00:00
Celebrity Infinity,17-Sep-2026,1280.74,1488.24,2149.24,4540.24,2025-12-24T07:50:59+00:00
Celebrity Infinity,26-Sep-2026,1470.33,1565.33,2345.83,5194.33,2025-12-24T07:51:02+00:00
Celebrity Infinity,05-Oct-2026,1663.69,2043.69,2728.69,6287.69,2025-12-24T07:51:02+00:00
Celebrity Infinity,15-Oct-2026,1323.83,1608.83,1899.83,4070.83,2025-12-24T07:51:02+00:00
Celebrity Infinity,23-Oct-2026,1567.62,1947.12,2427.12,5371.12,2025-12-24T07:51:02+00:00
Celebrity Millennium,11-Sep-2026,1944.39,2641.89,N/A,15035.89,2025-12-24T07:51:02+00:00
Celebrity Millennium,23-Sep-2026,3114.6,3323.1,N/A,N/A,2025-12-24T07:51:02+00:00
Celebrity Millennium,05-Oct-2026,2800.44,N/A,N/A,N/A,2025-12-24T07:51:02+00:00
Celebrity Millennium,17-Oct-2026,N/A,N/A,N/A,N/A,2025-12-24T07:51:02+00:00
Celebrity Reflection,04-Sep-2026,1097.91,1280.41,1283.41,3157.91,2025-12-24T07:51:02+00:00
Celebrity Reflection,12-Sep-2026,978.88,1221.38,1263.38,3363.38,2025-12-24T07:51:02+00:00
Celebrity Reflection,20-Sep-2026,788.53,924.03,956.03,2685.53,2025-12-24T07:51:02+00:00
Celebrity Reflection,26-Sep-2026,1085.88,1243.38,1245.88,3556.88,2025-12-24T07:51:02+00:00
Celebrity Reflection,04-Oct-2026,764.37,872.87,882.37,2729.87,2025-12-24T07:51:02+00:00
Celebrity Reflection,10-Oct-2026,913.88,1201.88,1318.38,4408.88,2025-12-24T07:51:02+00:00
Celebrity Reflection,18-Oct-2026,694.53,796.03,812.03,2673.03,2025-12-24T07:51:02+00:00
Celebrity Reflection,24-Oct-2026,1194.38,1459.38,1588.38,4498.38,2025-12-24T07:51:02+00:00
Celebrity Silhouette,05-Sep-2026,2044.3,N/A,2880.8,N/A,2025-12-24T07:51:02+00:00
Celebrity Silhouette,17-Sep-2026,1327.45,2231.95,2658.95,N/A,2025-12-24T07:51:02+00:00
Celebrity Silhouette,28-Sep-2026,2377.83,N/A,3254.33,N/A,2025-12-24T07:51:02+00:00
Celebrity Silhouette,09-Oct-2026,2172.24,N/A,2918.74,7541.24,2025-12-24T07:51:02+00:00
Celebrity Silhouette,20-Oct-2026,1213.3,N/A,1859.3,8871.3,2025-12-24T07:51:06+00:00
Celebrity Silhouette,30-Oct-2026,947.25,1355.25,1489.75,5499.75,2025-12-24T07:51:06+00:00
Celebrity Solstice,06-Sep-2026,1082.35,1503.85,1812.85,4284.85,2025-12-24T07:51:06+00:00
Celebrity Solstice,13-Sep-2026,1165.34,1712.84,1716.84,4361.34,2025-12-24T07:51:06+00:00
Celebrity Solstice,20-Sep-2026,1024.33,1291.83,1294.83,4548.33,2025-12-24T07:51:06+00:00
Celebrity Solstice,29-Sep-2026,2235.9,3615.9,3519.4,8637.4,2025-12-24T07:51:06+00:00
Celebrity Solstice,18-Oct-2026,2541.15,3506.65,3511.65,7644.15,2025-12-24T07:51:06+00:00
Celebrity Solstice,31-Oct-2026,N/A,N/A,3024.92,7324.92,2025-12-24T07:51:06+00:00
Celebrity Summit,04-Sep-2026,3450.77,3713.77,4920.27,9571.27,2025-12-24T07:51:06+00:00
